"GAME_ID","STATE_ID","ORDER_ID"
301,101,0
302,101,1
303,101,2
304,101,3
305,101,4
306,102,0
307,102,1
308,102,2
309,102,3
310,102,4
311,103,0
312,103,1
313,103,2
314,103,3
315,103,4
316,103,5
317,104,1
318,104,2
319,104,3
320,105,0
321,105,1
322,105,2
323,105,3
324,105,4
325,105,5
326,106,0
327,106,1
328,106,2
329,106,3
330,106,4
331,106,7
332,107,2
333,107,3
334,107,4
335,107,5
336,107,10
337,107,11
338,107,12
339,108,5
340,108,6
341,108,8
342,108,9
343,108,11
344,108,12
345,108,15
346,108,16
347,108,17
348,108,18
349,108,13
350,109,0
351,109,1
352,109,5
353,110,0
354,110,1
355,110,2
356,110,3
357,110,4
358,110,5
359,110,6
360,110,7
361,110,8
362,110,9
363,110,10
364,110,11
365,111,0
366,111,1
367,111,2
368,111,3
369,111,4
370,111,5
371,111,7
372,111,8
373,112,0
374,112,1
375,112,2
376,112,3
378,113,0
379,114,0
380,114,1
381,114,2
382,114,3
383,114,4
384,114,5
385,115,0
386,115,1
387,115,3
388,117,0
389,117,1
390,117,2
391,117,3
392,117,6
393,117,7
394,118,0
395,118,1
396,118,2
397,119,0
398,119,1
399,119,2
400,119,3
401,119,4
402,119,5
403,119,6
404,120,0
405,120,1
407,121,0
408,121,1
409,121,2
410,121,3
411,121,4
412,122,0
413,122,2
414,123,0
415,125,0
416,125,1
417,125,2
418,125,3
419,125,4
420,126,0
421,127,0
422,127,1
423,127,2
424,127,3
425,127,5
426,127,6
427,127,7
428,128,0
429,128,1
430,128,2
431,128,3
432,128,4
433,130,0
434,130,1
435,130,2
436,130,3
437,130,4
438,130,5
439,130,6
440,130,7
441,131,0
442,132,0
443,132,1
444,132,2
445,132,4
446,132,5
447,133,2
448,133,3
449,133,4
450,133,5
451,133,6
452,133,7
453,133,8
454,133,9
455,134,0
456,134,1
457,134,2
458,134,3
459,134,4
460,134,5
461,134,6
462,134,7
463,134,8
464,135,0
465,136,0
466,136,1
467,136,2
468,136,3
469,137,0
470,138,0
471,138,1
472,138,2
473,138,3
474,138,4
475,138,5
476,139,0
477,139,1
478,139,2
479,139,3
480,139,4
481,139,5
482,139,6
483,139,7
484,139,8
485,139,10
486,139,11
487,139,13
488,141,0
489,141,1
490,141,2
491,141,3
492,141,4
493,142,0
494,142,1
495,142,2
496,142,3
497,143,2
498,143,3
499,143,4
500,143,5
501,143,6
502,144,0
503,144,1
504,145,1
505,145,3
506,145,4
507,145,5
508,107,6
509,110,12
510,111,9
511,111,6
513,113,2
514,115,4
515,117,8
516,118,3
517,119,7
519,120,2
520,121,5
521,121,6
522,122,1
523,123,1
524,123,2
526,125,5
527,126,1
528,126,4
530,127,8
531,131,1
532,132,3
533,132,6
534,133,10
535,135,1
536,135,2
537,136,4
538,138,6
539,139,9
540,139,12
541,139,14
542,141,7
543,142,4
544,143,7
545,144,2
546,145,6
547,145,7
548,101,5
549,101,6
550,128,5
551,128,6
552,133,0
553,133,1
554,108,7
555,108,10
556,108,14
557,108,19
558,101,7
559,104,0
560,105,6
561,105,8
562,105,7
563,107,0
564,107,1
565,107,7
566,107,8
567,109,4
568,111,10
569,113,1
570,122,3
571,125,6
572,131,2
573,139,15
574,141,8
575,146,1
576,116,9
577,101,8
578,104,4
580,143,0
581,143,1
582,107,13
583,114,6
584,126,2
585,126,3
586,145,9
587,145,0
588,145,2
589,145,8
590,109,2
591,109,3
593,109,6
594,147,1
595,148,9
596,148,0
597,148,1
598,148,2
599,148,3
600,148,4
601,148,5
602,148,6
603,148,7
604,148,8
605,147,6
606,108,0
607,108,1
608,108,2
609,108,3
610,108,4
611,127,4
612,115,2
613,147,3
614,107,14
615,107,15
616,107,16
617,107,17
618,107,18
619,121,7
620,121,8
621,121,9
622,121,10
623,121,11
624,136,5
625,136,6
626,147,0
627,147,2
628,102,5
629,117,4
630,117,5
631,141,9
632,141,10
633,141,11
634,141,12
635,141,13
636,147,4
637,147,5
638,114,7
639,138,7
640,107,9
641,141,5
642,141,6
643,111,11
644,111,12
645,111,13
646,111,14
647,111,15
648,142,5
649,116,0
650,116,1
651,116,2
652,116,3
653,116,4
654,117,9
655,117,10
656,117,11
657,117,12
658,106,5
659,106,6
660,128,7
661,128,8
662,128,9
663,128,10
664,128,11
1001,116,5
1001,124,0
1001,140,0
1002,116,6
1002,124,1
1002,140,1
1003,116,7
1003,124,2
1003,140,2
1004,116,8
1004,124,3
1004,140,3
1005,116,10
1005,124,4
1005,140,4
1007,102,6
1007,108,20
1007,114,8
1008,116,13
1008,124,5
1008,140,5
1009,113,4
1009,123,3
1009,129,1
1009,146,0
1010,102,7
1010,104,5
1010,105,9
1010,106,9
1010,109,9
1010,112,7
1010,113,5
1010,114,9
1010,116,11
1010,118,4
1010,119,8
1010,122,6
1010,123,4
1010,124,6
1010,128,12
1010,129,3
1010,130,8
1010,131,4
1010,135,3
1010,137,3
1010,140,6
1010,143,9
1010,146,2
1011,106,8
1011,109,7
1011,112,6
1011,113,3
1011,116,12
1011,120,5
1011,122,4
1011,124,7
1011,126,5
1011,129,2
1011,131,3
1011,137,2
1011,138,8
1011,140,7
1011,143,8
1011,144,3
1012,101,10
1012,102,9
1012,103,7
1012,104,7
1012,105,11
1012,106,12
1012,107,21
1012,108,23
1012,109,11
1012,110,14
1012,111,18
1012,112,10
1012,113,8
1012,114,11
1012,115,6
1012,116,16
1012,117,15
1012,118,6
1012,119,10
1012,120,8
1012,121,14
1012,122,9
1012,123,7
1012,124,9
1012,125,9
1012,126,8
1012,127,11
1012,128,14
1012,129,6
1012,130,10
1012,131,7
1012,132,8
1012,133,13
1012,134,9
1012,135,5
1012,136,8
1012,137,6
1012,138,12
1012,139,17
1012,140,8
1012,141,16
1012,142,7
1012,143,11
1012,144,6
1012,145,10
1012,146,4
1012,147,9
1012,148,10
1013,101,9
1013,102,8
1013,103,6
1013,104,6
1013,105,10
1013,106,11
1013,107,20
1013,108,22
1013,109,12
1013,110,13
1013,111,17
1013,112,9
1013,113,7
1013,114,10
1013,115,5
1013,116,15
1013,117,14
1013,118,5
1013,119,9
1013,120,7
1013,121,13
1013,122,8
1013,123,6
1013,124,8
1013,125,8
1013,126,7
1013,127,10
1013,128,13
1013,129,5
1013,130,9
1013,131,6
1013,132,7
1013,133,12
1013,135,4
1013,136,7
1013,137,5
1013,138,11
1013,139,16
1013,140,9
1013,141,15
1013,142,6
